Word,Count
the,79
he,79
a,44
and,39
to,35
of,34
was,34
dursley,33
it,32
t,30
his,28
in,25
that,25
mr,23
as,20
on,20
have,16
had,16
people,13
at,13
been,12
didn,12
mrs,11
com,10
www,10
all,10
harry,10
ztcprep,10
potter,9
them,9
but,9
were,9
s,9
owls,9
into,9
said,8
be,8
d,8
cat,8
they,8
back,7
about,7
if,7
there,7
for,7
i,7
him,7
e,7
no,7
her,7
thought,7
this,6
something,6
could,6
couldn,6
rowling,6
k,6
j,6
stone,6
philosophers,6
g,6
p,6
over,6
when,6
with,5
even,5
drills,5
potters,5
you,5
w,5
so,5
himself,5
mind,5
their,4
today,4
still,4
cloaks,4
very,4
see,4
might,4
know,4
lot,4
not,4
why,4
man,4
she,4
now,4
morning,4
what,4
fell,4
next,4
an,4
down,4
by,4
sister,4
name,4
owl,4
called,4
eyes,3
last,3
heard,3
these,3
made,3
bed,3
normally,3
me,3
few,3
petunia,3
son,3
drive,3
around,3
until,3
door,3
up,3
yes,3
sign,3
privet,3
f,3
just,3
normal,3
same,3
shooting,3
daylight,3
day,3
town,3
sure,3
anything,3
sat,3
y,3
got,3
never,3
out,3
seen,3
put,3
road,3
dudley,3
upset,3
before,3
say,3
almost,3
how,3
stars,3
who,3
funny,3
night,3
corner,2
five,2
after,2
across,2
mood,2
overhead,2
good,2
most,2
telephone,2
do,2
more,2
flying,2
tonight,2
old,2
being,2
snapped,2
mention,2
any,2
home,2
number,2
changed,2
wasn,2
mysterious,2
stared,2
instead,2
tell,2
come,2
think,2
far,2
hurried,2
like,2
looked,2
ell,2
drove,2
whisper,2
dear,2
two,2
going,2
tea,2
walked,2
uneasy,2
outside,2
passed,2
sorry,2
jim,2
from,2
don,2
ge,2
bear,2
looking,2
hugged,2
garden,2
collecting,2
sitting,2
saw,2
young,2
gave,2
news,2
cloak,2
some,2
wearing,2
well,2
stupid,2
asleep,2
celebrating,2
car,2
new,2
did,2
imagining,2
together,2
excitedly,2
whispering,2
things,2
room,2
quite,2
living,2
went,2
or,2
happy,2
word,2
wall,2
window,2
are,2
found,2
harder,2
dressed,2
concentrate,2
fice,2
traf,2
get,2
fic,2
past,2
wondered,2
hoping,2
always,2
though,2
street,2
its,2
thinking,2
lar,2
nothing,2
acting,1
only,1
weatherman,1
determined,1
learned,1
6,1
house,1
wife,1
oddly,1
nice,1
told,1
v,1
daughter,1
iewers,1
problems,1
tried,1
dinner,1
ever,1
mcguf,1
act,1
since,1
pattern,1
sleeping,1
suddenly,1
explain,1
unable,1
experts,1
sunrise,1
direction,1
ed,1
hunt,1
every,1
birds,1
hardly,1
sightings,1
kent,1
hundreds,1
although,1
unusually,1
behaving,1
newscaster,1
showers,1
weather,1
fin,1
time,1
catch,1
report,1
evening,1
finally,1
bird,1
watchers,1
everywhere,1
grin,1
allowed,1
reported,1
nation,1
apart,1
haven,1
orkshire,1
nasty,1
awake,1
lay,1
quickly,1
dursleys,1
pair,1
related,1
waiting,1
staring,1
front,1
peered,1
8,1
bedroom,1
crept,1
bathroom,1
while,1
upstairs,1
subject,1
another,1
agree,1
es,1
horribly,1
sinking,1
heart,1
oh,1
ask,1
turning,1
comforting,1
wer,1
showing,1
nearly,1
fact,1
swooped,1
nor,1
slammed,1
quiver,1
much,1
unblinkingly,1
fixed,1
statue,1
sleepiness,1
sleep,1
involved,1
drifting,1
wrong,1
fect,1
af,1
turned,1
yawned,1
mixed,1
kind,1
knew,1
near,1
reason,1
common,1
isn,1
dundee,1
howard,1
nervously,1
throat,1
cleared,1
cups,1
carrying,1
came,1
7,1
place,1
britain,1
armchair,1
frozen,1
wet,1
promise,1
can,1
folks,1
week,1
early,1
bonfire,1
perhaps,1
downpour,1
ve,1
yesterday,1
promised,1
rain,1
phoning,1
er,1
pull,1
your,1
lips,1
again,1
fly,1
stif,1
suppose,1
wouldn,1
age,1
casually,1
dare,1
decided,1
dared,1
whether,1
pursed,1
lately,1
through,1
sipped,1
crowd,1
maybe,1
mumbled,1
stuf,1
sharply,1
pretended,1
angry,1
shocked,1
expected,1
let,1
knocked,1
rying,1
sped,1
4,1
important,1
several,1
ferent,1
dif,1
yelled,1
free,1
perfectly,1
however,1
nighttime,1
mouthed,1
parking,1
open,1
gazed,1
pointed,1
broad,1
swooping,1
watched,1
mirror,1
hadn,1
floor,1
ninth,1
calls,1
shouted,1
bit,1
lunchtime,1
words,1
caught,1
bag,1
doughnut,1
clutching,1
way,1
tin,1
single,1
too,1
bunch,1
angrily,1
eyed,1
baker,1
group,1
gotten,1
bakery,1
bun,1
buy,1
walk,1
legs,1
stretch,1
reading,1
grunnings,1
behavior,1
shake,1
huddle,1
wheel,1
steering,1
fingers,1
drummed,1
fashion,1
supposed,1
getups,1
clothes,1
little,1
strangely,1
arrived,1
seemed,1
noticing,1
help,1
jam,1
usual,1
else,1
driven,1
toward,1
edge,1
except,1
signs,1
maps,1
weirdos,1
standing,1
later,1
minutes,1
moved,1
would,1
obviously,1
stunt,1
silly,1
probably,1
struck,1
then,1
nerve,1
green,1
emerald,1
than,1
older,1
weren,1
cats,1
couple,1
enraged,1
read,1
close,1
saying,1
right,1
3,1
gone,1
also,1
stranger,1
complete,1
spot,1
rooted,1
stood,1
middle,1
should,1
yourself,1
muggles,1
has,1
stopped,1
ou,1
rejoice,1
sir,1
my,1
stare,1
passersby,1
voice,1
squeaky,1
smile,1
wide,1
muggle,1
whatever,1
rattled,1
set,1
must,1
look,1
stern,1
move,1
loudly,1
shoo,1
markings,1
one,1
spotted,1
tabby,1
improve,1
thing,1
first,1
four,1
driveway,1
pulled,1
imagination,1
approve,1
because,1
hoped,1
which,1
split,1
face,1
contrary,1
point,1
harvey,1
boy,1
nephew,1
lots,1
